loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,loan_term,loan_status,disbursement_date
LOAN000001,CUST002324,BR053,Gold Loan,72962,9.6,10,Closed,2026-01-04
LOAN000002,CUST000439,BR120,Education Loan,2146655,15.35,39,Active,2024-05-06
LOAN000003,CUST003035,BR032,Personal Loan,422686,16.14,44,Active,2022-10-24
LOAN000004,CUST004112,BR052,Business Loan,3689738,9.79,32,Closed,2026-07-25
LOAN000005,CUST001132,BR021,Auto Loan,1218948,8.9,67,Active,2019-07-05
LOAN000006,CUST003934,BR048,Personal Loan,353080,,31,Closed,2015-12-17
LOAN000007,CUST000695,BR007,Personal Loan,962839,16.24,54,Active,2016-10-08
LOAN000008,CUST000721,BR117,Education Loan,1608340,11.04,103,Closed,2020-11-04
LOAN000009,CUST000726,BR088,Personal Loan,80960,14.45,23,Active,2026-07-05
LOAN000010,CUST002400,BR065,Auto Loan,1264587,12.03,56,Active,2018-10-10
LOAN000011,CUST002023,BR139,Personal Loan,250487,11.49,18,Active,2026-01-23
LOAN000012,CUST004816,BR003,Home Loan,5652388,16.44,200,Active,2018-06-01
LOAN000013,CUST002997,BR073,Auto Loan,417649,9.92,27,Active,2017-04-21
LOAN000014,CUST004012,BR129,Personal Loan,371307,14.68,19,Active,2026-06-24
LOAN000015,CUST000822,BR145,Gold Loan,292528,14.42,25,Active,2026-03-25
LOAN000016,CUST002227,BR137,Gold Loan,69087,11.56,15,Active,2019-01-25
LOAN000017,CUST000258,BR092,Personal Loan,661854,14.38,26,Active ,2024-06-16
LOAN000018,CUST002114,BR122,Home Loan,2120310,14.58,231,ACTIVE,2025-02-16
LOAN000019,CUST002307,BR135,Personal Loan,977921,9.13,33,Closed,2026-07-17
LOAN000020,CUST002401,BR076,Home Loan,8634759,8.01,208,Closed,2018-09-05
LOAN000021,CUST004899,BR071,Gold Loan,119028,11.02,14,Defaulted,2021-10-20
LOAN000022,CUST000160,BR118,Education Loan,1525692,10.49,111,Active,2024-07-12
LOAN000023,CUST003278,BR069,Personal Loan,607721,11.77,53,Active,2025-04-25
LOAN000024,CUST003218,BR111,Auto Loan,826798,9.2,61,Active,2025-04-17
LOAN000025,CUST004477,BR022,Personal Loan,414237,9.99,34,Active,2020-07-10
LOAN000026,CUST002159,BR068,Gold Loan,186489,14.0,12,Closed,2015-02-06
LOAN000027,CUST004560,BR049,Business Loan,2375086,11.39,48,Closed,2023-01-17
LOAN000028,CUST000554,BR053,Auto Loan,528673,15.07,70,Active,2026-07-25
LOAN000029,CUST004417,BR120,Home Loan,4498136,14.82,163,Closed,2019-08-27
LOAN000030,CUST000067,BR143,Home Loan,4505442,7.64,182,Active,2019-01-25
LOAN000031,CUST000557,BR092,Auto Loan,164044,12.19,49,CLOSED,2024-11-18
LOAN000032,CUST003068,BR066,Auto Loan,1543079,8.31,46,Active,2023-12-04
LOAN000033,CUST800000,BR095,Business Loan,434930,15.49,82,Active,2024-09-01
LOAN000034,CUST002973,BR021,Personal Loan,696090,8.83,49,Closed,2025-09-01
LOAN000035,CUST001985,BR114,Personal Loan,234219,7.66,17,Closed,2026-02-24
LOAN000036,CUST003849,BR020,Auto Loan,231439,9.33,58,Active,2019-06-25
LOAN000037,CUST003605,BR137,Auto Loan,1531359,12.16,58,actve,2025-05-06
LOAN000038,CUST000612,BR058,Auto Loan,,11.07,47,Active,2023-05-23
LOAN000039,CUST003332,BR065,Education Loan,867133,10.29,85,Active,2022-07-23
LOAN000040,CUST000316,BR063,Auto Loan,1099703,14.0,45,Active,2024-08-09
LOAN000041,CUST004489,BR040,Home Loan,8713762,12.16,140,Active,2015-01-07
LOAN000042,CUST004194,BR020,Personal Loan,557280,8.16,21,Defaulted,2018-08-22
LOAN000043,CUST000945,BR096,Gold Loan,329358,14.13,13,Defaulted,2026-06-15
LOAN000044,CUST000578,BR068,Auto Loan,708187,10.73,40,Active,2020-07-07
LOAN000045,CUST000085,BR105,Education Loan,421027,14.47,60,Active,2025-12-29
LOAN000046,CUST000602,BR033,Personal Loan,997100,15.27,29,Closed,2024-08-06
LOAN000047,CUST004006,BR137,Personal Loan,955889,10.65,51,Active,2020-08-18
LOAN000048,CUST004698,BR137,Gold Loan,160695,14.14,31,Closed,2022-12-22
LOAN000049,CUST002915,BR085,Business Loan,1817530,10.69,54,Active,2021-12-20
LOAN000050,CUST000616,BR094,Home Loan,8374175,10.08,212,Active ,2024-04-08
LOAN000051,CUST002554,BR062,Home Loan,7101023,13.18,159,Active,2012-01-15
LOAN000052,CUST002299,BR064,Home Loan,2083491,10.65,155,Active,2020-01-04
LOAN000053,CUST004160,BR029,Home Loan,5243633,9.46,202,Active,2022-05-03
LOAN000054,CUST004428,BR106,Gold Loan,105497,12.74,35,Pending Approval,2025-04-16
LOAN000055,CUST003314,BR148,Auto Loan,714852,8.8,76,Active,2013-11-27
LOAN000056,CUST001303,BR137,Personal Loan,563651,7.55,51,Active,2019-03-14
LOAN000057,CUST004429,BR113,Personal Loan,907383,9.35,41,Active,2021-12-05
LOAN000058,CUST002240,BR006,Gold Loan,95590,11.71,30,Active,2025-09-07
LOAN000059,CUST002718,BR027,Gold Loan,,11.37,23,Active,2023-12-02
LOAN000060,CUST004892,BR104,Education Loan,2224601,13.61,61,Active,2025-07-14
LOAN000061,CUST003382,BR004,Home Loan,5975687,16.19,180,Closed,2024-03-27
LOAN000062,CUST001471,BR054,Auto Loan,1081355,9.46,45,Active,2020-01-14
LOAN000063,CUST003176,BR094,Personal Loan,767956,7.68,30,Closed,2024-12-02
LOAN000064,CUST003829,BR093,Personal Loan,670137,9.88,51,Active,2022-07-24
LOAN000065,CUST001445,BR136,Home Loan,1766576,10.99,160,Active,2018-09-02
LOAN000066,CUST003180,BR090,Personal Loan,663353,12.61,19,Active,2025-11-12
LOAN000067,CUST004971,BR052,Business Loan,1467753,15.15,37,Active,2022-09-25
LOAN000068,CUST003607,BR013,Auto Loan,1131580,,63,Active,2026-02-18
LOAN000069,CUST001787,BR080,Home Loan,2745422,11.13,164,Active,2018-03-24
LOAN000070,CUST001874,BR101,Gold Loan,302758,9.32,19,Closed,2026-05-03
LOAN000071,CUST001244,BR130,Auto Loan,1375581,14.65,53,Pending Approval,2022-10-01
